ئا: ﻿ئا
ئادىللىقنى: ئادىللىق,نى
ئادىللىقى: ئادىللىق,ى
ئادىمىزات: ئادىمىزات
ئادىمىيلىكنىڭ: ئادىمىيلىك,نىڭ
ئادىمىيەت: ئادىمىيەت
ئادىمىگەرچىلىك: ئادىمىگەرچىلىك
ئادۇليادې: ئادۇليادې
ئادۋوكاتقا: ئادۋوكا,تقا
ئادۋوكاتلار: ئادۋوكات,لار
ئادۋوكاتى: ئادۋوكات,ى
ئادەت: ئادەت
ئادەتتىكى: ئادەت,تە,كى
ئادەتتىكىدەك: ئادەت,تە,كى,دەك
ئادەتتە: ئادەت,تە
ئادەتكە: ئادەت,كە
ئادەتلىنىپ: ئادەتلەن,ىپ
ئادەتلەرنى: ئادەت,لەر,نى
ئادەتلەنگەن: ئادەتلەن,گەن
ئادەتنى: ئادەت,نى
ئادەم: ئادەم
ئادەمبومبا: ئادەمبومبا
ئادەمدىن: ئادەم,دىن
ئادەمدە: ئادەم,دە
ئادەملەر: ئادەم,لەر
ئادەملەرنىڭ: ئادەم,لەر,نىڭ
ئادەمنى: ئادەم,نى
ئادەمنىڭ: ئادەم,نىڭ
ئادەمگىچە: ئادەم,گىچە
ئادەمگە: ئادەمگە
ئادەمگەرچىلىك: ئادەمگەرچىلىك
ئارا: ئارا
ئاراتۈرۈك: ئاراتۈرۈك
ئارافات: ئارافات
ئارافاتنىڭ: ئارافات,نىڭ
ئاراك: ئاراك
ئارال: ئارال
ئاراللار: ئارال,لار
ئارالنى: ئارال,نى
ئارام: ئارام
ئارامگاھى: ئارامگاھى
ئاران: ئاران
ئارانلا: ئاران,لا
ئارايۇلتۇزدىن: ئارايۇلتۇز,دىن
ئارتىسلار: ئارتىس,لار
ئارتىسلارنىڭ: ئارتىس,لار,نىڭ
ئارتىسلىرى: ئارتىس,لار,ى
ئارتىسى: ئارتىس,ى
ئارتىپ: ئارت,ىپ
ئارتۇق: ئارتۇق
ئارتۇقراق: ئارتۇق,راق
ئارتۇقچە: ئارتۇق,چە
ئارخىپ: ئارخىپ
ئارخېئولوگىيە: ئارخېئولوگىيە
ئارخېئولوگىيەلىك: ئارخېئولوگىيەلىك
ئارداق: ئارداق
ئارزۇ: ئارزۇ
ئارزۇسى: ئارزۇ,سى
ئارزۇسىدىكى: ئارزۇ,سى,دىكى
ئارزۇسىدىن: ئارزۇ,سى,دىن
ئارزۇسىغا: ئارزۇ,سى,غا
ئارزۇسىنى: ئارزۇ,سى,نى
ئارزۇسىنىڭ: ئارزۇ,سى,نىڭ
ئارزۇلارنى: ئارزۇ,لار,نى
ئارزۇيىمىزغا: ئارزۇ,يىمىز,غا
ئارزۇيىمىزنىڭ: ئارزۇ,يىمىز,نىڭ
ئارزۇيۇڭلارنى: ئارزۇ,يۇڭ,لار,نى
ئارقا: ئارقا
ئارقىدا: ئارقا,دا
ئارقىدىن: ئارقا,دىن
ئارقىدىنلا: ئارقا,دىن,لا
ئارقىس: ئارقا,س
ئارقىسىدىكى: ئارقا,سى,دىكى
ئارقىغا: ئارقا,غا
ئارقىلىق: ئارقىلىق
ئارقىلىقلا: ئارقىلىق,لا
ئارقىمۇ: ئارقا,مۇ
ئارلىڭتون: ئارلىڭتون
ئارمان: ئارمان
ئارمانلار: ئارمان,لار
ئارمانلىرىنى: ئارمان,لار,ى,نى
ئارمىنىم: ئارمان,ىم
ئارمىيە: ئارمىيە
ئارمىيەدىكى: ئارمىيە,دىكى
ئارمىيەدە: ئارمىيە,دە
ئارمىيەسى: ئارمىيە,سى
ئارمىيەسىنىڭ: ئارمىيە,سى,نىڭ
ئارمىيەلىرىنىڭ: ئارمىيە,لار,ى,نىڭ
ئارمىيەمىزنىڭ: ئارمىيە,مىز,نىڭ
ئارمىيەنى: ئارمىيە,نى
ئارمىيەنىڭ: ئارمىيە,نىڭ
ئارمىيەگە: ئارمىيە,گە
ئارىدا: ئارا,دا
ئارىدىن: ئارا,دىن
ئارىسالدى: ئارا,دى
ئارىسىدا: ئارا,سى,دا
ئارىسىدىكى: ئارا,سى,دىكى
ئارىسىدىن: ئارا,سى,دىن
ئارىسىغا: ئارا,سى,غا
ئارىشاڭ: ئارىشاڭ
ئارىلاش: ئارىلاش
ئارىلاشتۇرۇلماي: ئارىلاشتۇرۇلما,ي
ئارىلاشتۇرۇلىدىغان: ئارىلاشتۇرۇل,ىدىغان
ئارىلاشما: ئارىلاشما
ئارىلاشماسلىقىنىڭ: ئارىلاشما,س,لىق,ى,نىڭ
ئارىلاشمىغان: ئارىلاشما,غان
ئارىلاپ: ئارىلا,پ
ئارىلى: ئارال,ى
ئارىلىدا: ئارال,ى,دا
ئارىلىدىكى: ئارال,ى,دىكى
ئارىلىشىشنى: ئالارش,ىش,نى
ئارىلىشى: ئالارش,ى
ئارىلىشىشىنى: ئالارش,ىش,ى,نى
ئارىلىشىۋېلىشنى: ئارىلىشۋال,ىش,نى
ئارىلىغا: ئارال,ى,غا
ئارىلىغان: ئارىلى,غان
ئارىلىقتا: ئارىلىق,تا
ئارىلىقى: ئارىلىق,ى
ئارىلىقىدا: ئارىلىق,ى,دا
ئارىلىقىدىكى: ئارىلىق,ى,دىكى
ئارىلىقىمىز: ئارىلىق,ىمىز
ئارىلىقىنىڭ: ئارىلىق,ى,نىڭ
ئارىلىنى: ئارال,ى,نى
ئارىلىنىڭ: ئارال,ى,نىڭ
ئارىيۆ: ئارىيۆ
ئارىيەت: ئارىيەت
ئارىيەتكە: ئارىيەت,كە
ئارىيەلىرىدىن: ئارىيە,لار,ى,دىن
ئارۇپ: ئارۇپ
ئاز: ئاز
ئازاب: ئازاب
ئازابلىق: ئازابلىق
ئازابىدىن: ئازاب,ى,دىن
ئازاد: ئازاد
ئازادلىق: ئازادلىق
ئازادە: ئازادە
ئازار: ئازار
ئازالې: ئازالې
ئازايتتى: ئازايت,تى
ئازايتقان: ئازايت,قان
ئازايتقىلى: ئازايت,قىلى
ئازايتىش: ئازايت,ىش
ئازايتىشقا: ئازايت,ىش,قا
ئازايتىشنى: ئازايت,ىش,نى
ئازايتىشىغا: ئازايت,ىش,ى,غا
ئازايتىلدى: ئازايتىل,دى
ئازايتىلغان: ئازايتىل,غان
ئازايتىلىدۇ: ئازايتىل,ىدۇ
ئازايتىپ: ئازايت,ىپ
ئازايتىۋېتىدۇ: ئازايتىۋەت,ىدۇ
ئازايدى: ئازاي,دى
ئازايغان: ئازاي,غان
ئازراق: ئازراق
ئازراقلا: ئازراق,لا
ئازلاپ: ئازلا,پ
ئازلىدى: ئازلا,دى
ئازلىغان: ئازلا,غان
ئازلىق: ئاز,لىق
ئازلىماي: ئازلىما,ي
ئازىيىش: ئازاي,ىش
ئازىيپ: ئازاي,پ
ئازگال: ئازگال
ئازگالنى: ئازگال,نى
ئازگىلىنى: ئازگال,ى,نى
ئاساد: ئاساد
ئاسادنىڭ: ئاساد,نىڭ
ئاسار: ئاسار
ئاسارەت: ئاسارەت
ئاساس: ئاساس
ئاساستا: ئاساس,تا
ئاساستىن: ئاساس,تىن
ئاساسقا: ئاساس,قا
ئاساسلانغاندا: ئاساسلان,غان,دا
ئاساسلىرى: ئاساس,لار,ى
ئاساسلىق: ئاساسلىق
ئاساسلىقى: ئاساسلىق,ى
ئاساسلىنىپ: ئاساسلان,ىپ
ئاساسنى: ئاساس,نى
ئاساسى: ئاساس,ى
ئاساسىدا: ئاساس,ى,دا
ئاساسىدىكى: ئاساس,ى,دىكى
ئاساسىنى: ئاساس,ى,نى
ئاساسىي: ئاساسىي
ئاساسەن: ئاساسەن
ئاسان: ئاسان
ئاسانبېك: ئاسانبېك
ئاسانلا: ئاسان,لا
ئاسانلاشقان: ئاسانلاش,قان
ئاسانلىق: ئاسانلىق
ئاستا: ئاستا
ئاستانە: ئاستانە
ئاسترونومىيە: ئاسترونومىيە
ئاستى: ئاست,ى
ئاستىدا: ئاست,ى,دا
ئاستىدىكى: ئاست,ى,دىكى
ئاستىدىن: ئاست,ى,دىن
ئاستىغا: ئاست,ى,غا
ئاستىلاتتى: ئاستىلات,تى
ئاستىلايدىكەن: ئاستىلا,ي,دىكەن
ئاستىلاپ: ئاستىلا,پ
ئاستىلىتىش: ئاستىلات,ىش
ئاستىلىتىشى: ئاستىلات,ىش,ى
ئاستۇق: ئاس,تۇق
ئاسراش: ئاسرا,ش
ئاسراشتا: ئاسرا,ش,تا
ئاسراشتىكى: ئاسرا,ش,تىكى
ئاسراشقا: ئاسرا,ش,قا
ئاسراشنى: ئاسرا,ش,نى
ئاسرايدىغان: ئاسرا,يدىغان
ئاسرىشىمىز: ئاسرا,ش,ىمىز
ئاسرىشىنى: ئاسرا,ش,ى,نى
ئاسفالىت: ئاسفالىت
ئاسقان: ئاسقان
ئاسماسلىق: ئاسما,س,لىق
ئاسمان: ئاسمان
ئاسماندىن: ئاسمان,دىن
ئاسمانغا: ئاسمان,غا
ئاسمىنى: ئاسمان,ى
ئاسىيا: ئاسىيا
ئاسىيادا: ئاسىيا,دا
ئاسىيادىكى: ئاسىيا,دىكى
ئاسىيادىن: ئاسىيا,دىن
ئاسىياغا: ئاسىيا,غا
ئاسىيالىقلار: ئاسىيالىق,لار
ئاسىيانى: ئاسىيان,ى
ئاسپىرانتلار: ئاسپىرانت,لار
ئاسپىرانتلارنى: ئاسپىرانت,لار,نى
ئاش: ئاش
ئاشاتتى: ئاش,اتتى
ئاشتى: ئاشتى
ئاشخانا: ئاشخانا
ئاشخانىسىدا: ئاشخانا,سى,دا
ئاشخانىسىدىكى: ئاشخانا,سى,دىكى
ئاشخانىنىڭ: ئاشخانا,نىڭ
ئاشراۋى: ئاشراۋى
ئاشسا: ئاش,سا
ئاشقازان: ئاشقازان
ئاشقازىنى: ئاشقازان,ى
ئاشقازىنىنىڭ: ئاشقازان,ى,نىڭ
ئاشقان: ئاش,قان
ئاشقانلار: ئاش,قان,لار
ئاشقانىكەن: ئاش,قان,ىكەن
ئاشكارا: ئاشكارا
ئاشكارلىشىچە: ئاشكارلا,ش,ى,چە
ئاشكارلىغان: ئاشكارلا,غان
ئاشكارلىمىغان: ئاشكارلا,ما,غان
ئاشكارىلاش: ئاشكارىلا,ش
ئاشكارىلاشتا: ئاشكارىلا,ش,تا
ئاشكارىلاشتىكى: ئاشكارىلا,ش,تىكى
ئاشكارىلاشتىن: ئاشكارىلا,ش,تىن
ئاشكارىلاشقا: ئاشكارىلا,ش,قا
ئاشكارىلاشنى: ئاشكارىلا,ش,نى
ئاشكارىلاشنىڭ: ئاشكارىلا,ش,نىڭ
ئاشكارىلاندى: ئاشكارىلان,دى
ئاشكارىلانغان: ئاشكارىلان,غان
ئاشكارىلانغانلار: ئاشكارىلان,غان,لار
ئاشكارىلايدىغان: ئاشكارىلا,ي,دىغان
ئاشكارىلايدىكەن: ئاشكارىلا,ي,دىكەن
ئاشكارىلايدۇ: ئاشكارىلا,ي,دۇ
ئاشكارىلاپ: ئاشكارىلا,پ
ئاشكارىلاپلا: ئاشكارىلا,پ,لا
ئاشكارلىدى: ئاشكارلا,دى
ئاشكارلىشى: ئاشكارلا,ش,ى
ئاشكارلىشىچە: ئاشكارلا,ش,ى,چە
ئاشكارلىغان: ئاشكارلا,غان
ئاشكارلىغاندىن: ئاشكارلا,غان,دىن
ئاشكارىلىغۇچى: ئاشكارىلىغۇچى
ئاشكارىلىق: ئاشكارىلىق
ئاشكارىلىماسلىق: ئاشكارىلىما,س,لىق
ئاشكارىلىمىدى: ئاشكارىلاما,دى
ئاشكارىلىمىغان: ئاشكارىلاما,غان
ئاشكارىلىمىغاندا: ئاشكارىلاما,غان,دا
ئاشكارىلىنىدىغان: ئاشكارىلان,ىدىغان
ئاشكارىلىنىدۇ: ئاشكارىلان,ىدۇ
ئاشكارىلىنىشىچە: ئاشكارىلان,ىش,ى,چە
ئاشكېلون: ئاشكېلون
ئاشلىغان: ئاشلا,غان
ئاشلىق: ئاشلىق
ئاشلىققا: ئاشلىق,قا
ئاشلىقىنىڭ: ئاشلىق,ى,نىڭ
ئاشماسلىقى: ئاشما,س,لىق,ى
ئاشماي: ئاشما,ي
ئاشمايدۇ: ئاشما,ي,دۇ
ئاشماغان: ئاشما,غان
ئاشىدىغان: ئاش,ىدىغان
ئاشىدىغانلىقى: ئاش,ىدىغان,لىق,ى
ئاشىدىكەن: ئاش,ىدىكەن
ئاشىدۇ: ئاش,ىدۇ
ئاشپەزلىك: ئاشپەزلىك
ئاشۇ: ئاشۇ
ئاشۇرالايدۇ: ئاشۇر,ا,لا,ي,دۇ
ئاشۇرايلى: ئاشۇر,ايلى
ئاشۇردى: ئاشۇر,دى
ئاشۇردۇق: ئاشۇر,دۇق
ئاشۇرغان: ئاشۇر,غان
ئاشۇرغانلارنىڭ: ئاشۇر,غان,لار,نىڭ
ئاشۇرغىلى: ئاشۇر,غىلى
ئاشۇرماقتا: ئاشۇر,ماقتا
ئاشۇرىدىغان: ئاشۇر,ىدىغان
ئاشۇرىدىكەن: ئاشۇر,ىدىكەن
ئاشۇرىدۇ: ئاشۇر,ىدۇ
ئاشۇرىمىز: ئاشۇر,ىمىز
ئاشۇرۇدىغان: ئاشۇر,ۇدىغان
ئاشۇرۇش: ئاشۇر,ۇش
ئاشۇرۇشتا: ئاشۇر,ۇش,تا
ئاشۇرۇشتىكى: ئاشۇر,ۇش,تىكى
ئاشۇرۇشتىن: ئاشۇر,ۇش,تىن
ئاشۇرۇشتەك: ئاشۇر,ۇش,تەك
ئاشۇرۇشقا: ئاشۇر,ۇش,قا
ئاشۇرۇشنى: ئاشۇر,ۇش,نى
ئاشۇرۇشنىڭ: ئاشۇر,ۇش,نىڭ
ئاشۇرۇشى: ئاشۇر,ۇش,ى
ئاشۇرۇشىدىكى: ئاشۇر,ۇش,ى,دىكى
ئاشۇرۇشىمىز: ئاشۇر,ۇش,ىمىز
ئاشۇرۇشىمىزنى: ئاشۇر,ۇش,ىمىز,نى
ئاشۇرۇشىنى: ئاشۇر,ۇش,ى,نى
ئاشۇرۇشىڭلارنى: ئاشۇر,ۇش,ىڭ,لار,نى
ئاشۇرۇلدى: ئاشۇرۇل,دى
ئاشۇرۇلغان: ئاشۇرۇل,غان
ئاشۇرۇلىدىكەن: ئاشۇرۇل,ىدىكەن
ئاشۇرۇلىدۇ: ئاشۇرۇل,ىدۇ
ئاشۇرۇلۇپ: ئاشۇرۇل,ۇپ
ئاشۇرۇمىز: ئاشۇر,ۇمىز
ئاشۇرۇپ: ئاشۇر,ۇپ
ئاشۇرۇپلا: ئاشۇر,ۇپ,لا
ئاشۇرۇۋاتقان: ئاشۇرۇۋات,قان
ئاشۇرۇۋاتىدۇ: ئاشۇرۇۋات,ىدۇ
ئاشۇرۇۋېتىشكە: ئاشۇرۇۋات,ىش,كە
ئاشۇرۇۋاتىشى: ئاشۇرۇۋات,ىش,ى
ئاشۇرۇۋەتكەنىدى: ئاشۇرۇۋەت,كەن,ىدى
ئاشۇلارغا: ئاشۇ,لار,غا
ئاشۇەن: ئاشۇەن
ئاغدۇردى: ئاغدۇر,دى
ئاغدۇرغاندىن: ئاغدۇر,غان,دىن
ئاغدۇرۇلغان: ئاغدۇرۇل,غان
ئاغدۇرۇلغاندىن: ئاغدۇرۇل,غان,دىن
ئاغدۇرۇپ: ئاغدۇر,ۇپ
ئاغرىق: ئاغرىق
ئاغرىققا: ئاغرىق,قا
ئاغرىقلار: ئاغرىق,لار
ئاغرىقلارغا: ئاغرىق,لار,غا
ئاغرىقلارنى: ئاغرىق,لار,نى
ئاغرىقلارنىڭ: ئاغرىق,لار,نىڭ
ئاغرىقلىرىغا: ئاغرىق,لار,ى,غا
ئاغرىقنى: ئاغرىق,نى
ئاغرىقنىڭ: ئاغرىق,نىڭ
ئاغرىمىغان: ئاغرا,ما,غان
ئاغرىپ: ئاغرا,پ
ئاغزاكى: ئاغزاكى
ئاغزى: ئاغز,ى
ئاغزىغا: ئاغز,ى,غا
ئاغزىنى: ئاغز,ى,نى
ئاغىنىسى: ئاغىنە,سى
ئافرىقا: ئافرىقا
ئافرىقىدا: ئافرىقا,دا
ئافرىقىدىكى: ئافرىقا,دىكى
ئافرىقىغا: ئافرىقا,غا
ئافرىقىلىقلار: ئافرىقىلىق,لار
ئافرىقىنىڭ: ئافرىقا,نىڭ
ئافغانىستان: ئافغانىستان
ئافغانىستاندا: ئافغانىستان,دا
ئافغانىستاندىكى: ئافغانىستان,دىكى
ئافغانىستاندىن: ئافغانىستان,دىن
ئافغانىستانلىق: ئافغانىستانلىق
ئافغانىستاننىڭ: ئافغانىستان,نىڭ
ئاق: ئاق
ئاقار: ئاق,ار
ئاقاز: ئاقاز
ئاقان: ئاقان
ئاقتاغ: ئاقتاغ
ئاقتۇ: ئاقتۇ
ئاقتۇبەك: ئاقتۇبەك
ئاقتېرەك: ئاقتېرەك
ئاقسا: ئاقسا
ئاقساراي: ئاقساراي
ئاقسىلى: ئاقسىل,ى
ئاقسىلىنىڭ: ئاقسىل,ى,نىڭ
ئاقسۇ: ئاقسۇ
ئاقسۇدا: ئاقسۇ,دا
ئاقسۇدىن: ئاقسۇ,دىن
ئاقسۇنى: ئاقسۇ,نى
ئاققۇزغان: ئاققۇز,غان
ئاققۇزۇش: ئاققۇز,ۇش
ئاقمايدىغانلىقى: ئاقما,يدىغان,لىق,ى
ئاقموم: ئاقموم
ئاقىلانىلىك: ئاقىلانىلىك
ئاقىللار: ئاقىل,لار
ئاقىۋەتنى: ئاقىۋەت,نى
ئاكا: ئاكا
ئاكادېمىك: ئاكادېمىك
ئاكادېمىكتىن: ئاكادېمىك,تىن
ئاكادېمىكى: ئاكادېمىك,ى
ئاكادېمىيەسى: ئاكادېمىيە,سى
ئاكادېمىيەسىدىن: ئاكادېمىيە,سى,دىن
ئاكادېمىيەسىنىڭ: ئاكادېمىيە,سى,نىڭ
ئاكام: ئاكا,م
ئاكتىپ: ئاكتىپ
ئاكتىپلىق: ئاكتىپلىق
ئاكتىپلىقى: ئاكتىپلىق,ى
ئاكتىپلىقىنى: ئاكتىپلىق,ى,نى
ئاكتىپچانلىقى: ئاكتىپچانلىق,ى
ئاكتىپچانلىقىغا: ئاكتىپچانلىق,ى,غا
ئاكسىيە: ئاكسىيە
ئاكوپ: ئاكوپ
ئاكىتا: ئاكىتا
ئاكىسى: ئاكا,سى
ئاكىنىڭ: ئاكا,نىڭ
ئاكۇ: ئاكۇ
